Model,Firewall Throughput,VPN Throughput,AV Throughput,IPS Throughput,UTM Throughput
T10/T10-W,400 Mbps,100 Mbps,120 Mbps,160 Mbps,90 Mbps
T15/T15-W,400 Mbps,150 Mbps,120 Mbps,160 Mbps,90 Mbps
T30/T30-W,620 Mbps,150 Mbps,180 Mbps,240 Mbps,135 Mbps
T35/T35-W,940 Mbps,560 Mbps,325 Mbps,573 Mbps,278 Mbps
T55/T55-W,1 Gbps,360 Mbps,636 Mbps,636 Mbps,523 Mbps
T50/T50-W,1.2 Gbps,270 Mbps,235 Mbps,410 Mbps,165 Mbps
M200,3.2 Gbps,1.2 Gbps,620 Mbps,1.4 Gbps,515 Mbps
T70,4 Gbps,740 Mbps,1.2 Gbps,1.5 Gbps,1.1 Gbps
M300,4.0 Gbps,2 Gbps,1.2 Gbps,2.5 Gbps,800 Mbps
M270,4.9 Gbps,1.6 Gbps,2.1 Gbps,2.3 Gbps,1.6 Gbps
M440,6.7 Gbps,3.2 Gbps,2.2 Gbps,2.2 Gbps,1.6 Gbps
M370,8 Gbps,4.6 Gbps,3 Gbps,4.8 Gbps,2.6 Gbps
M500,8 Gbps,5.3 Gbps,3.2 Gbps,5.5 Gbps,1.7 Gbps
M400,8 Gbps,4.4 Gbps,2.5 Gbps,4 Gbps,1.4 Gbps
M470,19.6 Gbps,5.2 Gbps,3.5 Gbps,5.7 Gbps,3.1 Gbps
M570,26.6 Gbps,5.8 Gbps,5.4 Gbps,8 Gbps,4.4 Gbps
M670,34 Gbps,7.6 Gbps,6.2 Gbps,10.4 Gbps,5.4 Gbps
M4600,40 Gbps,10 Gbps,9 Gbps,13 Gbps,8 Gbps
M5600,60 Gbps,10 Gbps,12 Gbps,18 Gbps,11 Gbps
